"","player_name","tip_distance","most_used","second_used","woba","xwoba","luck"
"1","Adon, Joan",0.137183035043633,"4-Seam Fastball","Curveball",0.379,0.371,0.00800000000000001
"2","Alcantara, Sandy",0.0511332492668761,"Changeup","4-Seam Fastball",0.26,0.267,-0.00700000000000001
"3","Anderson, Ian",0.171193188297298,"4-Seam Fastball","Changeup",0.333,0.323,0.01
"4","Archer, Chris",0.166486464326814,"Slider","4-Seam Fastball",0.312,0.337,-0.025
"5","Ashcraft, Graham",0.237206761306015,"Cutter","Slider",0.326,0.311,0.015
"6","Bassitt, Chris",0.0206362399521116,"Sinker","Cutter",0.291,0.29,0.001
"7","Berríos, José",0.175672038547363,"Curveball","4-Seam Fastball",0.35,0.346,0.004
"8","Bieber, Shane",0.0814844230326494,"4-Seam Fastball","Slider",0.269,0.292,-0.023
"9","Blackburn, Paul",0.0467888376050082,"Sinker","Cutter",0.326,0.315,0.011
"10","Bradish, Kyle",0.056605309448832,"4-Seam Fastball","Slider",0.334,0.327,0.00700000000000001
"11","Brieske, Beau",0.245323623135619,"4-Seam Fastball","Changeup",0.306,0.36,-0.054
"12","Brubaker, JT",0.0698202656600502,"Sinker","Slider",0.339,0.329,0.01
"13","Bundy, Dylan",0.158440401133706,"4-Seam Fastball","Slider",0.329,0.322,0.00700000000000001
"14","Burnes, Corbin",0.343898979983185,"Cutter","Curveball",0.267,0.273,-0.00600000000000001
"15","Carrasco, Carlos",0.132290640545441,"4-Seam Fastball","Changeup",0.327,0.313,0.014
"16","Castillo, Luis",0.0669835830733192,"4-Seam Fastball","Sinker",0.273,0.284,-0.011
"17","Cease, Dylan",0.294941777695226,"Slider","4-Seam Fastball",0.263,0.257,0.00600000000000001
"18","Civale, Aaron",0.167716577099745,"Cutter","Curveball",0.313,0.303,0.01
"19","Clevinger, Mike",0.176204932588569,"4-Seam Fastball","Slider",0.311,0.331,-0.02
"20","Cobb, Alex",0.110371582948713,"Split-Finger","Sinker",0.296,0.277,0.019
"21","Cole, Gerrit",0.18894646179272,"4-Seam Fastball","Slider",0.283,0.284,-0.001
"22","Contreras, Roansy",0.093879607365705,"4-Seam Fastball","Slider",0.316,0.332,-0.016
"23","Cueto, Johnny",0.177783696856837,"Sinker","Changeup",0.309,0.311,-0.002
"24","Darvish, Yu",0.0442644616921726,"Cutter","4-Seam Fastball",0.259,0.291,-0.032
"25","Davies, Zach",0.0694431794304508,"Sinker","Changeup",0.315,0.329,-0.014
"26","Dunning, Dane",0.0439821475148122,"Sinker","Slider",0.344,0.327,0.017
"27","Eovaldi, Nathan",0.148355041187684,"4-Seam Fastball","Split-Finger",0.325,0.321,0.004
"28","Espino, Paolo",0.0992330401038018,"4-Seam Fastball","Curveball",0.376,0.348,0.028
"29","Fedde, Erick",0.389798068703167,"Sinker","Curveball",0.362,0.356,0.00600000000000001
"30","Feltner, Ryan",0.0277178884813743,"4-Seam Fastball","Slider",0.345,0.339,0.00599999999999995
"31","Flexen, Chris",0.056775932543278,"4-Seam Fastball","Cutter",0.326,0.339,-0.013
"32","Gallen, Zac",0.0814644763852872,"4-Seam Fastball","Knuckle Curve",0.25,0.278,-0.028
"33","Garcia, Luis",0.0791728810651104,"4-Seam Fastball","Cutter",0.295,0.295,0
"34","Gausman, Kevin",0.211274588724725,"4-Seam Fastball","Split-Finger",0.304,0.285,0.019
"35","Gibson, Kyle",0.182179089467357,"Sinker","Cutter",0.331,0.326,0.005
"36","Gilbert, Logan",0.0563234438735731,"4-Seam Fastball","Slider",0.299,0.314,-0.015
"37","Giolito, Lucas",0.0520397808131928,"4-Seam Fastball","Changeup",0.344,0.318,0.026
"38","Gonsolin, Tony",0.166329131464076,"4-Seam Fastball","Split-Finger",0.238,0.276,-0.038
"39","Gray, Jon",0.275504101223264,"4-Seam Fastball","Slider",0.292,0.295,-0.003
"40","Gray, Josiah",0.456624589336946,"4-Seam Fastball","Slider",0.35,0.319,0.031
"41","Gray, Sonny",0.109707016128791,"4-Seam Fastball","Sinker",0.283,0.298,-0.015
"42","Greene, Hunter",0.144080411365199,"4-Seam Fastball","Slider",0.318,0.31,0.00800000000000001
"43","Greinke, Zack",0.0982080367158806,"4-Seam Fastball","Curveball",0.321,0.336,-0.015
"44","Heasley, Jonathan",0.331972853425439,"4-Seam Fastball","Changeup",0.355,0.353,0.002
"45","Hendricks, Kyle",0.0625585682804089,"Sinker","Changeup",0.341,0.345,-0.00399999999999995
"46","Houser, Adrian",0.303603377691952,"Sinker","4-Seam Fastball",0.319,0.342,-0.023
"47","Hudson, Dakota",0.213278116577038,"Sinker","Slider",0.328,0.344,-0.016
"48","Hutchison, Drew",0.361709707117571,"4-Seam Fastball","Slider",0.344,0.356,-0.012
"49","Javier, Cristian",0.0970108789682335,"4-Seam Fastball","Slider",0.254,0.245,0.00900000000000001
"50","Junis, Jakob",0.193988534196336,"Slider","Sinker",0.339,0.318,0.021
"51","Kaprielian, James",0.497197655606481,"4-Seam Fastball","Slider",0.322,0.332,-0.01
"52","Keller, Brad",0.100302133777448,"Slider","4-Seam Fastball",0.331,0.324,0.00700000000000001
"53","Keller, Mitch",0.0701601331454212,"4-Seam Fastball","Slider",0.321,0.318,0.003
"54","Kelly, Merrill",0.125768447553704,"4-Seam Fastball","Changeup",0.289,0.296,-0.00700000000000001
"55","Kirby, George",0.0580212650911799,"4-Seam Fastball","Curveball",0.302,0.284,0.018
"56","Kluber, Corey",0.0381721944008566,"Cutter","Curveball",0.316,0.31,0.00600000000000001
"57","Kopech, Michael",0.351628129351283,"4-Seam Fastball","Slider",0.286,0.308,-0.022
"58","Kremer, Dean",0.251609285043671,"4-Seam Fastball","Cutter",0.313,0.323,-0.01
"59","Kuhl, Chad",0.0268967712018326,"Sinker","Slider",0.368,0.352,0.016
"60","López, Pablo",0.0958033998772288,"4-Seam Fastball","Changeup",0.305,0.301,0.004
"61","Lorenzen, Michael",0.186118815810901,"Changeup","4-Seam Fastball",0.303,0.307,-0.004
"62","Lyles, Jordan",0.235476708049599,"4-Seam Fastball","Slider",0.341,0.341,0
"63","Lynn, Lance",0.145125043416933,"4-Seam Fastball","Cutter",0.304,0.296,0.00800000000000001
"64","Mahle, Tyler",0.134553586667218,"4-Seam Fastball","Split-Finger",0.303,0.291,0.012
"65","Manoah, Alek",0.221705964449806,"4-Seam Fastball","Slider",0.261,0.284,-0.023
"66","Márquez, Germán",0.0794835274445278,"4-Seam Fastball","Sinker",0.341,0.327,0.014
"67","McKenzie, Triston",0.229221596705432,"4-Seam Fastball","Slider",0.267,0.294,-0.027
"68","Mikolas, Miles",0.109039511561157,"4-Seam Fastball","Slider",0.279,0.306,-0.027
"69","Montas, Frankie",0.116331834186855,"4-Seam Fastball","Split-Finger",0.309,0.311,-0.002
"70","Morton, Charlie",0.172111403557643,"Curveball","4-Seam Fastball",0.32,0.314,0.00600000000000001
"71","Musgrove, Joe",0.0461908957467882,"Slider","4-Seam Fastball",0.292,0.282,0.01
"72","Nola, Aaron",0.105433714371937,"4-Seam Fastball","Knuckle Curve",0.264,0.259,0.005
"73","Odorizzi, Jake",0.144153983379707,"4-Seam Fastball","Cutter",0.315,0.314,0.001
"74","Ohtani, Shohei",0.285197840706943,"Slider","4-Seam Fastball",0.255,0.256,-0.001
"75","Otto, Glenn",0.13230561885326,"Slider","Sinker",0.325,0.343,-0.018
"76","Peralta, Freddy",0.079343325480803,"4-Seam Fastball","Slider",0.249,0.251,-0.002
"77","Pivetta, Nick",0.0459509908589445,"4-Seam Fastball","Knuckle Curve",0.33,0.332,-0.002
"78","Plesac, Zach",0.0173220369740797,"4-Seam Fastball","Slider",0.325,0.352,-0.027
"79","Quantrill, Cal",0.189961096467484,"Sinker","Cutter",0.305,0.321,-0.016
"80","Rasmussen, Drew",0.293132494179984,"4-Seam Fastball","Cutter",0.27,0.29,-0.02
"81","Ryan, Joe",0.056829325519731,"4-Seam Fastball","Slider",0.294,0.294,0
"82","Sampson, Adrian",0.0829255390006981,"4-Seam Fastball","Sinker",0.309,0.329,-0.02
"83","Scherzer, Max",0.233192030744808,"4-Seam Fastball","Slider",0.254,0.265,-0.011
"84","Senzatela, Antonio",0.107567832107657,"4-Seam Fastball","Slider",0.386,0.35,0.036
"85","Severino, Luis",0.168323140962655,"4-Seam Fastball","Changeup",0.273,0.268,0.005
"86","Singer, Brady",0.115864105496374,"Sinker","Slider",0.298,0.31,-0.012
"87","Strider, Spencer",0.12722179058117,"4-Seam Fastball","Slider",0.237,0.234,0.00299999999999997
"88","Stripling, Ross",0.143411308524939,"4-Seam Fastball","Changeup",0.264,0.295,-0.031
"89","Stroman, Marcus",0.0612990032447277,"Sinker","Slider",0.291,0.308,-0.017
"90","Syndergaard, Noah",0.0301319888930466,"Sinker","Slider",0.311,0.326,-0.015
"91","Taillon, Jameson",0.0635951825790352,"4-Seam Fastball","Slider",0.308,0.317,-0.00900000000000001
"92","Thompson, Keegan",0.0313394541065233,"4-Seam Fastball","Cutter",0.36,0.36,0
"93","Thompson, Zach",0.093752982123379,"Cutter","Sinker",0.352,0.345,0.00700000000000001
"94","Ureña, José",0.0557638173960563,"Sinker","Slider",0.343,0.339,0.004
"95","Urquidy, José",0.415871200778419,"4-Seam Fastball","Changeup",0.312,0.328,-0.016
"96","Verlander, Justin",0.1359052577488,"4-Seam Fastball","Slider",0.222,0.255,-0.033
"97","Voth, Austin",0.168271550274656,"4-Seam Fastball","Curveball",0.303,0.309,-0.00600000000000001
"98","Wacha, Michael",0.0578488061948566,"4-Seam Fastball","Changeup",0.301,0.329,-0.028
"99","Wainwright, Adam",0.163338243992031,"Curveball","Sinker",0.306,0.328,-0.022
"100","Walker, Taijuan",0.263305605286623,"4-Seam Fastball","Split-Finger",0.293,0.308,-0.015
"101","Watkins, Spenser",0.104205293041435,"4-Seam Fastball","Cutter",0.316,0.341,-0.025
"102","Webb, Logan",0.190477686063911,"Sinker","Slider",0.283,0.295,-0.012
"103","Wells, Tyler",0.0894065094333045,"4-Seam Fastball","Slider",0.301,0.302,-0.001
"104","Wheeler, Zack",0.207734801781642,"4-Seam Fastball","Slider",0.275,0.275,0
"105","White, Mitch",0.279272792445639,"4-Seam Fastball","Slider",0.332,0.321,0.011
"106","Wilson, Bryse",0.137904524520962,"Sinker","4-Seam Fastball",0.37,0.361,0.00900000000000001
"107","Winckowski, Josh",0.512233111344289,"Sinker","Slider",0.363,0.34,0.023
"108","Woodruff, Brandon",0.00803508369591826,"4-Seam Fastball","Sinker",0.282,0.277,0.00499999999999995
"109","Wright, Kyle",0.294055698443379,"Curveball","Sinker",0.288,0.306,-0.018
